DMG-AGTP-EUR (Stargate, UK/GER/FR/ESP/IT/NED)
DMG-RK-NOE (Star Trek 25th Anniversary, GER)
DMG-ASTP-EUR (Star Trek Generations Beyond the Nexus, UK/FR/GER)
DMG-WS-NOE (Star Wars, GER)
DMG-WS-USA-1 (Star Wars, US)
DMG-EB-NOE-1 (Star Wars – Das Imperium schlägt zurück, GER)
DMG-AYDP-NOE (Star Wars – Yoda Stories, GER)
DMG-HZ-USA (Stop that Roach!, US)
DMG-ASFP-NOE (Street Fighter II, GER)
DMG-ASRP-EUR (Street Racer, UK/FR/GER/ESP/IT/NED)
DMG-FB-NOE (Sunsoft Grand Prix, GER)
DMG-N6-EUR (Super Battle Tank, UK/FR/GER)
DMG-Q2-USA (Super Chase H.Q., US)
DMG-HN-USA (Super Hunchback, US)
DMG-HN-NOE-1 (Super Hunchback, GER)
DMG-KF-NOE (Super Kick Off, GER)
DMG-ML-NOE (Super Mario Land, GER)
DMG-ML-NOE-1 (Super Mario Land, GER)
DMG-ML-USA-1 (Super Mario Land, US)
DMG-MQ-NOE (Super Mario Land 2 – 6 Golden Coins, GER)
DMG-MQ-NOE-3 (Super Mario Land 2 – 6 Golden Coins, GER)
DMG-MQ-USA (Super Mario Land 2 – 6 Golden Coins, US)
DMG-MQ-USA-1 (Super Mario Land 2 – 6 Golden Coins, US)
DMG-RC-NOE (Super R.C. Pro Am, GER)
DMG-WG-USA (Swamp Thing, US)
DMG-AYRP-NOE (Sylvester & Tweety „Vogel zum Frühstück“, GER)
DMG-ALUP-NOE (Tabaluga, GER)
DMG-TG-USA (Tail Gator, US)
DMG-ATAP-NOE (Tamagotchi, GER)
DMG-ZK-EUR (Tarzan Lord of the Jungle, UK/FR/GER)
DMG-ZM-UKV (Taz Mania, UK)
DMG-ZM-EUR (Taz Mania, UK/GER)
DMG-NT-NOE-1 (Teenage Mutant Hero Turtles Fall of the Foot Clan, GER)
DMG-NT-FAH (Teenage Mutant Hero Turtles Fall of the Foot Clan, FR/NED)
DMG-TT-NOE (Teenage Mutant Hero Turtles II Back from the Sewers, GER)
DMG-TT-NOE-2 (Teenage Mutant Hero Turtles II Back from the Sewers, GER)
DMG-TT-USA (Teenage Mutant Ninja Turtles II Back from the Sewers, US)
DMG-TN-NOE-2 (Tennis, GER)
DMG-ER-USA (Tesserae, US)
DMG-ER-USA-1 (Tesserae, US)
DMG-TZ-NOE (Terminator 2 Judgment Day, GER)
DMG-AW6P-EUR (Test Drive 6, FR/GER/ESP/IT/UK)
DMG-TR-NOE (Tetris, GER)
DMG-TR-NOE-1 (Tetris, GER)
DMG-TR-UKV-4 (Tetris, UK)
DMG-EH-FRG-1 (Tetris 2, GER/FR)
DMG-EH-NOE (Tetris 2, GER)
DMG-AYLP-NOE (Tetris Attack, GER)
DMG-ASBP-NOE (Tetris Blast, GER)
DMG-ASBE-USA (Tetris Blast, US)
DMG-ATRP-NNOE (Tetris Plus, GER)
DMG-KS-USA (The Adventures of Star Saver, US)
DMG-SM-NOE (The amazing Spider-Man, GER)
DMG-BY-USA (The Bugs Bunny Crazy Castle 2, US)
DMG-CV-NOE (The Castlevania Adventure, GER)
DMG-CV-USA (The Castlevania Adventure, US)
DMG-EM-NOE-1 (The Chessmaster, GER)
DMG-F6-NOE (The Fidgetts, GER)
DMG-SA-USA (The Final Fantasy Legend, US)
DMG-AFNP-EUR (The Flintstones, UK/GER/FR/NED/ESP/IT/SV/FIN)
DMG-GH-USA (The Game of Harmony, US)
DMG-HU-USA (The Humans, US)
DMG-HF-NOE (The Hunt for Red October, GER)
DMG-HF-USA-1 (The Hunt for Red October, US)
DMG-C8-NOE (The incredible Crash Dummies, UK/GER)
DMG-C8-ESP (The incredible Crash Dummies, ESP)
DMG-J7-USA (The Jungle Book, US)
DMG-L5-UKV (The Lawnmower Man, UK/GER/FR/NED/ESP/IT/SV/SU)
DMG-ZL-USA-1 (The Legend of Zelda – Link’s Awakening, US)
DMG-ALNE-USA (The Lion King, US)
DMG-LD-USA-2 (The little Mermaid, US)
DMG-LD-NOE (The little Mermaid, GER)
DMG-APMP-EUR (The Pagemaster, UK/FR/GER/ESP/IT/NED)
DMG-NS-USA (The Punisher, US)
DMG-RX-USA (The Ren & Stimpy Show Space Cadet Adventures, US)
DMG-RP-NOE (The Rescue of Princess Blobette, GER)
DMG-FZ-NOE (The Spirit of F-1, GER)
DMG-AYGP-EUR (Tiger Woods PGA Tour 2000, UK/GER/FR/IT/ESP)
DMG-TX-NOE (Tiny Toon Adventures Babs‘ Big Break, GER)
DMG-TX-NOE-1 (Tiny Toon Adventures Babs‘ Big Break, GER)
DMG-T8-NOE (Tiny Toon Adventures Montana’s Movie Madness, GER)
DMG-JY-NOE (Tom & Jerry, GER)
DMG-J8-NOE (Tom and Jerry 2 Der Film, GER)
DMG-GN-NOE-1 (Top Gun Guts & Glory, GER)
DMG-N8-USA (Total Carnage, US)
DMG-TM-USA (Track Meet, US)
DMG-TP-USA (Trax, US)
DMG-ATLP-EUR (True Lies, UK/GER/FR/ESP/IT/NED)
DMG-ATLE-USA (True Lies, US)
DMG-A2TP-NOE (Turok 2 – Seeds of Evil, GER)
DMG-UT-USA (Ultima Runes of Virtue, US)
DMG-AUSP-EUR (Urban Strike, UK/FR/GER)
DMG-AVLP-NOE (V-Rally Championship Edition, GER)
DMG-EE-NOE (Wario Blast, GER)
DMG-WJ-NOE (Wario Land – Super Mario Land 3, GER)
DMG-WJ-UKV-1 (Wario Land – Super Mario Land 3, UK)
DMG-AW2P-NNOE (Wario Land II, GER)
DMG-WA-NNOE (Wave Race, GER)
DMG-WF-USA (Wheel of Fortune, US)
DMG-RR-NNOE (Who framed Roger Rabbit, GER)
DMG-AWSE-USA (WildSnake, US)
DMG-YC-USA (Winter Olympic Games, US)
DMG-WW-NOE (Wizards & Warriors X Fortress of Fear, GER)
DMG-WV-NOE (World Beach Volley 1992 GB Cup, GER)
DMG-A8WP-EUR (World Cup 98, UK/GER/FR/NED)
DMG-W9-NOE (WorldCup USA 94, GER)
DMG-W9-UKV (WorldCup USA 94, UK)
DMG-WP-NOE (WWF King of the Ring, UK/GER/FR/NED)
DMG-WP-NOE-1 (WWF King of the Ring, UK/GER/FR/NED)
DMG-AWFP-EUR (WWF Raw, UK/GER/FR/ESP/NED)
DMG-LW-NOE-1 (WWF Superstars, GER)
DMG-WX-NOE (WWF Superstars 2, UK/GER)
DMG-WX-FRG (WWF Superstars 2, GER)
DMG-AWWP-EUR (WWF War Zone, UK/GER/FR/IT)
DMG-YG-EUR (Yogi Bear’s Gold Rush, UK/FR/ESP/IT)
DMG-YG-USA (Yogi Bear’s Gold Rush, US)
DMG-CI-NOE (Yoshi’s Cookie, GER)
DMG-CI-USA (Yoshi’s Cookie, US)
DMG-ZN-NOE (Zen Intergalactic Ninja, GER)
DMG-ZG-NOE-1 (Zool Ninja of the „Nth“ Dimension, GER)
DMG-AZPP-EUR (Zoop, UK/GER/FR/IT/ESP)
